"","Date","Away_team","Away_score","Home_team","Home_score","score_diff","site","nuetral","Home_conference","Away_conference"
"1",2021-11-09,"Abilene Christian",56,"Utah",70,14,"Utah",0,"Pacific-12","Western Athletic"
"2",2021-11-09,"Akron",66,"Ohio St.",67,1,"Ohio St.",0,"Big Ten","Mid-American"
"3",2021-11-09,"Alabama St.",74,"Western Kentucky",79,5,"Western Kentucky",0,"Conference USA","Southwest Athletic"
"4",2021-11-09,"Alcorn St.",67,"Washington St.",85,18,"Washington St.",0,"Pacific-12","Southwest Athletic"
"5",2021-11-09,"Appalachian St.",53,"Iona",65,12,"Iona",0,"Metro Atlantic Athletic","Sun Belt"
"6",2021-11-09,"Arkansas Pine Bluff",77,"Creighton",90,13,"Creighton",0,"Big East","Southwest Athletic"
"7",2021-11-09,"Ball St.",71,"Georgia Southern",82,11,"Georgia Southern",0,"Sun Belt","Mid-American"
"8",2021-11-09,"Bellarmine",67,"Purdue",96,29,"Purdue",0,"Big Ten","Atlantic Sun"
"9",2021-11-09,"Belmont",80,"Ohio",92,12,"Ohio",0,"Mid-American","Ohio Valley"
"10",2021-11-09,"Bethesda",74,"Southern Utah",116,42,"Southern Utah",0,"Big Sky","Pacific Christian Athletic"
"11",2021-11-09,"Bethune Cookman",54,"South Florida",75,21,"South Florida",0,"American Athletic","Southwest Athletic"
"12",2021-11-09,"Birmingham Southern",98,"Lipscomb",105,7,"Lipscomb",0,"Atlantic Sun",NA
"13",2021-11-09,"Birmingham Southern",98,"Lipscomb",105,7,"Lipscomb",0,"Atlantic Sun",NA
"14",2021-11-09,"Bob Jones",79,"Wofford",117,38,"Wofford",0,"Southern",NA
"15",2021-11-09,"Boston University",62,"Rhode Island",71,9,"Rhode Island",0,"Atlantic 10","Patriot League"
"16",2021-11-09,"Bowling Green",71,"Western Carolina",79,8,"Western Carolina",0,"Southern","Mid-American"
"17",2021-11-09,"Bradley",65,"South Dakota St.",81,16,"South Dakota St.",0,"Summit League","Missouri Valley"
"18",2021-11-09,"Brescia",59,"Middle Tennessee",98,39,"Middle Tennessee",0,"Conference USA",NA
"19",2021-11-09,"Brewton Parker",37,"Georgia St.",97,60,"Georgia St.",0,"Sun Belt",NA
"20",2021-11-09,"Bridgewater VA",56,"Norfolk St.",79,23,"Norfolk St.",0,"Mid-Eastern Athletic",NA
"21",2021-11-09,"Bucknell",70,"N.C. State",88,18,"N.C. State",0,"Big Sky","Patriot League"
"22",2021-11-09,"Cairn",41,"Delaware St.",80,39,"Delaware St.",0,"Mid-Eastern Athletic",NA
"23",2021-11-09,"Cal St. Bakersfield",58,"UCLA",95,37,"UCLA",0,"Pacific-12","Big West"
"24",2021-11-09,"Cal St. Fullerton",77,"Santa Clara",84,7,"Santa Clara",0,"West Coast","Big West"
"25",2021-11-09,"Cal St. Northridge",49,"USC",89,40,"USC",0,"Pacific-12","Big West"
"26",2021-11-09,"Canisius",67,"Miami FL",77,10,"Miami FL",0,"Atlantic Coast","Metro Atlantic Athletic"
"27",2021-11-09,"Carlow",55,"VMI",111,56,"VMI",0,"Southern",NA
"28",2021-11-09,"Carver",42,"Troy",104,62,"Troy",0,"Sun Belt",NA
"29",2021-11-09,"Central Arkansas",61,"Saint Louis",96,35,"Saint Louis",0,"Atlantic 10","Atlantic Sun"
"30",2021-11-09,"Central Connecticut",48,"Connecticut",99,51,"Connecticut",0,"Big East","Northeast"
"31",2021-11-09,"Central Michigan",68,"Missouri",78,10,"Missouri",0,"Southeastern","Mid-American"
"32",2021-11-09,"Chattanooga",75,"Loyola Marymount",64,-11,"Loyola Marymount",0,"West Coast","Southern"
"33",2021-11-09,"Cleveland St.",59,"BYU",69,10,"BYU",0,"West Coast","Horizon League"
"34",2021-11-09,"Coe",61,"Drake",87,26,"Drake",0,"Missouri Valley",NA
"35",2021-11-09,"Columbia",67,"Fordham",77,10,"Fordham",0,"Atlantic 10","Ivy League"
"36",2021-11-09,"Concordia College MN",44,"North Dakota St.",88,44,"North Dakota St.",0,"Summit League",NA
"37",2021-11-09,"Coppin St.",45,"Loyola Chicago",103,58,"Loyola Chicago",0,"Missouri Valley","Mid-Eastern Athletic"
"38",2021-11-09,"Cornell",76,"Binghamton",69,-7,"Binghamton",0,"America East","Ivy League"
"39",2021-11-09,"Cumberland",77,"Murray St.",109,32,"Murray St.",0,"Ohio Valley",NA
"40",2021-11-09,"Dartmouth",57,"Boston College",73,16,"Boston College",0,"Atlantic Coast","Ivy League"
"41",2021-11-09,"Delaware",71,"Davidson",93,22,"Davidson",0,"Atlantic 10","Colonial Athletic Association"
"42",2021-11-09,"Dickinson St.",27,"Montana",74,47,"Montana",0,"Big Sky",NA
"43",2021-11-09,"District of Columbia",59,"Howard",87,28,"Howard",0,"Mid-Eastern Athletic",NA
"44",2021-11-09,"Dixie St.",63,"Gonzaga",97,34,"Gonzaga",0,"West Coast","Western Athletic"
"45",2021-11-09,"Earlham",54,"Purdue Fort Wayne",103,49,"Purdue Fort Wayne",0,"Horizon League",NA
"46",2021-11-09,"Eastern Illinois",56,"Northwestern",80,24,"Northwestern",0,"Big Ten","Ohio Valley"
"47",2021-11-09,"Eastern Michigan",62,"Indiana",68,6,"Indiana",0,"Big Ten","Mid-American"
"48",2021-11-09,"Eastern Oregon",61,"Idaho St.",82,21,"Idaho St.",0,"Big Sky",NA
"49",2021-11-09,"Eastern Washington",76,"Nevada",91,15,"Nevada",0,"Mountain West","Big Sky"
"50",2021-11-09,"Elon",61,"Florida",74,13,"Florida",0,"Southeastern","Colonial Athletic Association"
"51",2021-11-09,"Emerson",48,"Merrimack",77,29,"Merrimack",0,"Northeast",NA
"52",2021-11-09,"Emory & Henry",72,"Radford",84,12,"Radford",0,"Big South",NA
"53",2021-11-09,"Evansville",43,"Cincinnati",65,22,"Cincinnati",0,"American Athletic","Missouri Valley"
"54",2021-11-09,"Fairfield",73,"Providence",80,7,"Providence",0,"Big East","Metro Atlantic Athletic"
"55",2021-11-09,"Ferrum",73,"Coastal Carolina",101,28,"Coastal Carolina",0,"Sun Belt",NA
"56",2021-11-09,"Fisher",54,"Bryant",122,68,"Bryant",0,"Northeast",NA
"57",2021-11-09,"FIU",51,"Georgia",58,7,"Georgia",0,"Southeastern","NCAA"
"58",2021-11-09,"Florida Memorial",67,"Stetson",74,7,"Stetson",0,"Atlantic Sun",NA
"59",2021-11-09,"Florida National",57,"Florida Gulf Coast",94,37,"Florida Gulf Coast",0,"Atlantic Sun","Conference USA"
"60",2021-11-09,"Fresno Pacific",54,"Fresno St.",74,20,"Fresno St.",0,"Mountain West",NA
"61",2021-11-09,"Georgetown KY",63,"Eastern Kentucky",93,30,"Eastern Kentucky",0,"Atlantic Sun",NA
"62",2021-11-09,"Grambling St.",53,"Grand Canyon",74,21,"Grand Canyon",0,"Western Athletic","Southwest Athletic"
"63",2021-11-09,"Harding",55,"Arkansas St.",81,26,"Arkansas St.",0,"Sun Belt",NA
"64",2021-11-09,"Hartford",59,"Wagner",77,18,"Wagner",0,"Northeast","America East"
"65",2021-11-09,"Hastings",57,"Nebraska Omaha",67,10,"Nebraska Omaha",0,"Summit League",NA
"66",2021-11-09,"Hofstra",75,"Houston",83,8,"Houston",0,"American Athletic","Colonial Athletic Association"
"67",2021-11-09,"Houston Baptist",48,"Texas",92,44,"Texas",0,"Big 12","Southland"
"68",2021-11-09,"Illinois Chicago",54,"Dayton",64,10,"Dayton",0,"Atlantic 10","Horizon League"
"69",2021-11-09,"Indiana St.",81,"Green Bay",77,-4,"Green Bay",0,"Horizon League","Missouri Valley"
"70",2021-11-09,"IUPUI",47,"Butler",56,9,"Butler",0,"Big East","Horizon League"
"71",2021-11-09,"Jackson St.",47,"Illinois",71,24,"Illinois",0,"Big Ten","Southwest Athletic"
"72",2021-11-09,"Jacksonville St.",57,"Wichita St.",60,3,"Wichita St.",0,"American Athletic","Atlantic Sun"
"73",2021-11-09,"Johnson & Wales NC",71,"Charleston Southern",118,47,"Charleston Southern",0,"Big South",NA
"74",2021-11-09,"Kansas",87,"Michigan St.",74,-13,"New York, NY",1,"Big Ten","Big 12"
"75",2021-11-09,"Kennesaw St.",73,"Iowa St.",84,11,"Iowa St.",0,"Big 12","Atlantic Sun"
"76",2021-11-09,"Kentucky",71,"Duke",79,8,"New York, NY",1,"Atlantic Coast","Southeastern"
"77",2021-11-09,"La Verne",38,"San Diego",103,65,"San Diego",0,"West Coast",NA
"78",2021-11-09,"Lafayette",63,"Syracuse",97,34,"Syracuse",0,"Atlantic Coast","Patriot League"
"79",2021-11-09,"Lake Erie",53,"Wright St.",86,33,"Wright St.",0,"Horizon League",NA
"80",2021-11-09,"LIU",64,"San Francisco",98,34,"San Francisco",0,"West Coast","Northeast"
"81",2021-11-09,"Longwood",73,"Iowa",106,33,"Iowa",0,"Big Ten","Big South"
"82",2021-11-09,"Louisiana Monroe",39,"LSU",101,62,"LSU",0,"Southeastern","Sun Belt"
"83",2021-11-09,"Louisiana Tech",64,"Alabama",93,29,"Alabama",0,"Southeastern","Conference USA"
"84",2021-11-09,"Loyola MD",67,"North Carolina",83,16,"North Carolina",0,"Atlantic Coast","Patriot League"
"85",2021-11-09,"LSU Alexandria",73,"Stephen F. Austin",82,9,"Stephen F. Austin",0,"Western Athletic",NA
"86",2021-11-09,"Maine",47,"Virginia Tech",82,35,"Virginia Tech",0,"Atlantic Coast","America East"
"87",2021-11-09,"Manhattanville",42,"Manhattan",99,57,"Manhattan",0,"Metro Atlantic Athletic",NA
"88",2021-11-09,"Marist",73,"American",77,4,"American",0,"Patriot League","Metro Atlantic Athletic"
"89",2021-11-09,"Mary Baldwin",78,"Winthrop",110,32,"Winthrop",0,"Big South",NA
"90",2021-11-09,"Maryland Eastern Shore",67,"Saint Joseph's",69,2,"Saint Joseph's",0,"Atlantic 10","Mid-Eastern Athletic"
"91",2021-11-09,"Maryville TN",78,"Samford",99,21,"Samford",0,"Southern",NA
"92",2021-11-09,"McNeese St.",62,"SMU",86,24,"SMU",0,"American Athletic","Southland"
"93",2021-11-09,"Mercer",61,"Arkansas",74,13,"Arkansas",0,"Southeastern","Southern"
"94",2021-11-09,"Miami OH",72,"Georgia Tech",69,-3,"Georgia Tech",0,"Atlantic Coast","Mid-American"
"95",2021-11-09,"Mid Atlantic Christian",51,"Hampton",101,50,"Hampton",0,"Big South",NA
"96",2021-11-09,"Milwaukee",75,"North Dakota",60,-15,"North Dakota",0,"Summit League","Horizon League"
"97",2021-11-09,"Mississippi Valley St.",61,"St. John's",119,58,"St. John's",0,"Big East","Southwest Athletic"
"98",2021-11-09,"Monmouth",66,"Charlotte",68,2,"Charlotte",0,"Conference USA","Metro Atlantic Athletic"
"99",2021-11-09,"Montana St.",90,"Colorado",94,4,"Colorado",0,"Pacific-12","Big Sky"
"100",2021-11-09,"Morehead St.",54,"Auburn",77,23,"Auburn",0,"Southeastern","Ohio Valley"
"101",2021-11-09,"Morehouse",70,"Harvard",86,16,"Harvard",0,"Ivy League",NA
"102",2021-11-09,"Mount St. Mary's",51,"Villanova",91,40,"Villanova",0,"Big East","Northeast"
"103",2021-11-09,"Navy",66,"Virginia",58,-8,"Virginia",0,"Atlantic Coast","Patriot League"
"104",2021-11-09,"Neumann",74,"Drexel",103,29,"Drexel",0,"Colonial Athletic Association",NA
"105",2021-11-09,"New Orleans",61,"Mississippi",82,21,"Mississippi",0,"Southeastern","Southland"
"106",2021-11-09,"New Paltz",52,"Army",83,31,"Army",0,"Patriot League",NA
"107",2021-11-09,"Niagara",60,"Xavier",63,3,"Xavier",0,"Big East","Metro Atlantic Athletic"
"108",2021-11-09,"Nicholls St.",62,"Northern Iowa",58,-4,"Northern Iowa",0,"Missouri Valley","Southland"
"109",2021-11-09,"North Carolina A&T",53,"UNC Greensboro",57,4,"UNC Greensboro",0,"Southern","Big South"
"110",2021-11-09,"North Carolina Central",60,"Richmond",70,10,"Richmond",0,"Atlantic 10","Mid-Eastern Athletic"
"111",2021-11-09,"North Florida",74,"Texas Tech",89,15,"Texas Tech",0,"Big 12","Atlantic Sun"
"112",2021-11-09,"North Greenville",66,"Furman",118,52,"Furman",0,"Southern",NA
"113",2021-11-09,"Northeastern",58,"Colgate",65,7,"Colgate",0,"Patriot League","Colonial Athletic Association"
"114",2021-11-09,"Northern Arizona",52,"Arizona",81,29,"Arizona",0,"Pacific-12","Big Sky"
"115",2021-11-09,"Northern Illinois",71,"Washington",64,-7,"Washington",0,"Pacific-12","Mid-American"
"116",2021-11-09,"Northwestern St.",59,"Oklahoma",77,18,"Oklahoma",0,"Big 12","Southland"
"117",2021-11-09,"Oakland",53,"West Virginia",60,7,"West Virginia",0,"Big 12","Horizon League"
"118",2021-11-09,"Oklahoma Christian",53,"North Texas",84,31,"North Texas",0,"Conference USA",NA
"119",2021-11-09,"Oral Roberts",80,"Colorado St.",109,29,"Colorado St.",0,"Mountain West","Summit League"
"120",2021-11-09,"Pepperdine",63,"Rice",82,19,"Rice",0,"Conference USA","West Coast"
"121",2021-11-09,"Portland",60,"Arizona St.",76,16,"Arizona St.",0,"Pacific-12","West Coast"
"122",2021-11-09,"Portland St.",64,"Oregon St.",73,9,"Oregon St.",0,"Pacific-12","Big Sky"
"123",2021-11-09,"Prairie View A&M",68,"Saint Mary's",87,19,"Saint Mary's",0,"West Coast","Southwest Athletic"
"124",2021-11-09,"Presbyterian",53,"Clemson",64,11,"Clemson",0,"Atlantic Coast","Big South"
"125",2021-11-09,"Quinnipiac",69,"Maryland",83,14,"Maryland",0,"Big Ten","Metro Atlantic Athletic"
"126",2021-11-09,"Regis",65,"Denver",68,3,"Denver",0,"Summit League",NA
"127",2021-11-09,"Regis MA",51,"Holy Cross",98,47,"Holy Cross",0,"Patriot League",NA
"128",2021-11-09,"Rider",61,"Duquesne",73,12,"Duquesne",0,"Atlantic 10","Metro Atlantic Athletic"
"129",2021-11-09,"Rivier",55,"UMass Lowell",91,36,"UMass Lowell",0,"America East",NA
"130",2021-11-09,"Rutgers Camden",28,"Princeton",94,66,"Princeton",0,"Ivy League",NA
"131",2021-11-09,"Sacred Heart",86,"La Salle",81,-5,"La Salle",0,"Atlantic 10","Northeast"
"132",2021-11-09,"Saint Peter's",54,"VCU",57,3,"VCU",0,"Atlantic 10","Metro Atlantic Athletic"
"133",2021-11-09,"Salve Regina",59,"Brown",89,30,"Brown",0,"Ivy League",NA
"134",2021-11-09,"San Francisco St.",65,"Cal Baptist",87,22,"Cal Baptist",0,"Western Athletic",NA
"135",2021-11-09,"Shenandoah",59,"High Point",108,49,"High Point",0,"Big South",NA
"136",2021-11-09,"Siena",47,"St. Bonaventure",75,28,"St. Bonaventure",0,"Atlantic 10","Metro Atlantic Athletic"
"137",2021-11-09,"SIU Edwardsville",77,"Marquette",88,11,"Marquette",0,"Big East","Ohio Valley"
"138",2021-11-09,"South Carolina St.",62,"East Carolina",70,8,"East Carolina",0,"American Athletic","Mid-Eastern Athletic"
"139",2021-11-09,"Southeast Missouri St.",99,"Missouri St.",94,-5,"Missouri St.",0,"Missouri Valley","Ohio Valley"
"140",2021-11-09,"Southeastern Louisiana",67,"Tulane",70,3,"Tulane",0,"American Athletic","Southland"
"141",2021-11-09,"Southern",60,"Louisville",72,12,"Louisville",0,"Atlantic Coast","Southwest Athletic"
"142",2021-11-09,"Southern Illinois",66,"Little Rock",69,3,"Little Rock",0,"Sun Belt","Missouri Valley"
"143",2021-11-09,"Spring Hill",41,"South Alabama",102,61,"South Alabama",0,"Sun Belt",NA
"144",2021-11-09,"St. Francis NY",58,"Wisconsin",81,23,"Wisconsin",0,"Big Ten","Northeast"
"145",2021-11-09,"St. Francis PA",72,"George Washington",75,3,"George Washington",0,"Atlantic 10","Northeast"
"146",2021-11-09,"St. Joseph's ME",53,"New Hampshire",98,45,"New Hampshire",0,"America East",NA
"147",2021-11-09,"St. Mary's MD",55,"Morgan St.",118,63,"Morgan St.",0,"Mid-Eastern Athletic",NA
"148",2021-11-09,"St. Thomas",72,"Chicago St.",77,5,"Chicago St.",0,"Western Athletic","Summit League"
"149",2021-11-09,"Stony Brook",52,"George Mason",74,22,"George Mason",0,"Atlantic 10","America East"
"150",2021-11-09,"Tarleton St.",50,"Stanford",62,12,"Stanford",0,"Pacific-12","Western Athletic"
"151",2021-11-09,"Tennessee Martin",62,"Tennessee",90,28,"Tennessee",0,"Southeastern","Ohio Valley"
"152",2021-11-09,"Tennessee St.",73,"Alabama A&M",82,9,"Alabama A&M",0,"Southwest Athletic","Ohio Valley"
"153",2021-11-09,"Tennessee Tech",65,"Memphis",89,24,"Memphis",0,"American Athletic","Ohio Valley"
"154",2021-11-09,"Texas A&M Intl",59,"UT Rio Grande Valley",74,15,"UT Rio Grande Valley",0,"Western Athletic",NA
"155",2021-11-09,"Texas Lutheran",64,"Texas A&M Corpus Chris",102,38,"Texas A&M Corpus Chris",0,"Southland",NA
"156",2021-11-09,"Texas Southern",66,"Oregon",83,17,"Oregon",0,"Pacific-12","Southwest Athletic"
"157",2021-11-09,"Texas St.",75,"Incarnate Word",57,-18,"Incarnate Word",0,"Southland","Sun Belt"
"158",2021-11-09,"The Citadel",78,"Pittsburgh",63,-15,"Pittsburgh",0,"Atlantic Coast","Southern"
"159",2021-11-09,"Toledo",69,"Valparaiso",61,-8,"Valparaiso",0,"Missouri Valley","Mid-American"
"160",2021-11-09,"Towson",77,"Albany",56,-21,"Albany",0,"America East","Colonial Athletic Association"
"161",2021-11-09,"Trinity Baptist",43,"Jacksonville",79,36,"Jacksonville",0,"Atlantic Sun",NA
"162",2021-11-09,"Trinity TX",66,"UTSA",97,31,"UTSA",0,"Conference USA",NA
"163",2021-11-09,"UC Davis",72,"Utah St.",69,-3,"Utah St.",0,"Mountain West","Big West"
"164",2021-11-09,"UC Irvine",51,"New Mexico St.",62,11,"New Mexico St.",0,"Western Athletic","Big West"
"165",2021-11-09,"UC Riverside",53,"San Diego St.",66,13,"San Diego St.",0,"Mountain West","Big West"
"166",2021-11-09,"UC San Diego",80,"California",67,-13,"California",0,"Pacific-12","Big West"
"167",2021-11-09,"UMBC",60,"Massachusetts",77,17,"Massachusetts",0,"Atlantic 10","America East"
"168",2021-11-09,"UMKC",56,"Minnesota",71,15,"Minnesota",0,"Big Ten","Western Athletic"
"169",2021-11-09,"UNC Asheville",77,"UAB",102,25,"UAB",0,"Conference USA","Big South"
"170",2021-11-09,"UNC Wilmington",63,"Illinois St.",68,5,"Illinois St.",0,"Missouri Valley","Colonial Athletic Association"
"171",2021-11-09,"USC Upstate",60,"South Carolina",78,18,"South Carolina",0,"Southeastern","Big South"
"172",2021-11-09,"UT Arlington",45,"Oklahoma St.",88,43,"Oklahoma St.",0,"Big 12","Sun Belt"
"173",2021-11-09,"UT Southern",79,"Austin Peay",86,7,"Austin Peay",0,"Ohio Valley",NA
"174",2021-11-09,"Utah Valley",56,"Boise St.",76,20,"Boise St.",0,"Mountain West","Western Athletic"
"175",2021-11-09,"Vassar",42,"Yale",88,46,"Yale",0,"Ivy League",NA
"176",2021-11-09,"West Florida",47,"Louisiana",81,34,"Louisiana",0,"Sun Belt",NA
"177",2021-11-09,"Westcliff",53,"Cal Poly",86,33,"Cal Poly",0,"Big West",NA
"178",2021-11-09,"Western Colorado",60,"Weber St.",100,40,"Weber St.",0,"Big Sky",NA
"179",2021-11-09,"Western Illinois",75,"Nebraska",74,-1,"Nebraska",0,"Big Ten","Summit League"
"180",2021-11-09,"Western New Mexico",57,"UTEP",85,28,"UTEP",0,"Conference USA",NA
"181",2021-11-09,"Wheeling Jesuit",54,"Northern Kentucky",82,28,"Northern Kentucky",0,"Horizon League",NA
"182",2021-11-09,"Wiley",50,"Lamar",67,17,"Lamar",0,"Western Athletic",NA
"183",2021-11-09,"William Carey",67,"Southern Miss",81,14,"Southern Miss",0,"Conference USA",NA
"184",2021-11-09,"William Jessup",59,"Sacramento St.",89,30,"Sacramento St.",0,"Big Sky",NA
"185",2021-11-09,"William Peace",50,"Campbell",85,35,"Campbell",0,"Big South",NA
"186",2021-11-10,"Alabama St.",72,"Vanderbilt",91,19,"Vanderbilt",0,"Southeastern","Southwest Athletic"
"187",2021-11-10,"Alcorn St.",66,"Seattle",69,3,"Seattle",0,"Western Athletic","Southwest Athletic"
"188",2021-11-10,"Buffalo",76,"Michigan",88,12,"Michigan",0,"Big Ten","Mid-American"
"189",2021-11-10,"Carlow",40,"James Madison",135,95,"James Madison",0,"Colonial Athletic Association",NA
"190",2021-11-10,"Coppin St.",72,"DePaul",97,25,"DePaul",0,"Big East","Mid-Eastern Athletic"
"191",2021-11-10,"Detroit Mercy",47,"Wyoming",85,38,"Wyoming",0,"Mountain West","Horizon League"
"192",2021-11-10,"Fairleigh Dickinson",49,"Seton Hall",93,44,"Seton Hall",0,"Big East","Northeast"
"193",2021-11-10,"Florida A&M",57,"Kansas St.",67,10,"Kansas St.",0,"Big 12","Southwest Athletic"
"194",2021-11-10,"Florida Atlantic",92,"New Mexico",99,7,"New Mexico",0,"Mountain West","Conference USA"
"195",2021-11-10,"Gardner Webb",58,"UNLV",64,6,"UNLV",0,"Mountain West","Big South"
"196",2021-11-10,"Harris Stowe",54,"Saint Louis",127,73,"Saint Louis",0,"Atlantic 10",NA
"197",2021-11-10,"Hawaii Hilo",67,"Hawaii",97,30,"Hawaii",0,"Big West",NA
"198",2021-11-10,"Hope",58,"Western Michigan",76,18,"Western Michigan",0,"Mid-American",NA
"199",2021-11-10,"Lehigh",70,"Rutgers",73,3,"Rutgers",0,"Big Ten","Patriot League"
"200",2021-11-10,"LeTourneau",54,"Sam Houston St.",97,43,"Sam Houston St.",0,"Western Athletic",NA
"201",2021-11-10,"Long Beach St.",95,"Idaho",89,-6,"Idaho",0,"Big Sky","Big West"
"202",2021-11-10,"Maryland Eastern Shore",49,"Temple",72,23,"Temple",0,"American Athletic","Mid-Eastern Athletic"
"203",2021-11-10,"North Alabama",49,"Mississippi St.",75,26,"Mississippi St.",0,"Southeastern","Atlantic Sun"
"204",2021-11-10,"North Florida",46,"Texas A&M",64,18,"Texas A&M",0,"Southeastern","Atlantic Sun"
"205",2021-11-10,"Northwestern St.",75,"Tulsa",82,7,"Tulsa",0,"American Athletic","Southland"
"206",2021-11-10,"Pacific",65,"Northern Colorado",67,2,"Honolulu, HI",1,"Big Sky","West Coast"
"207",2021-11-10,"Penn",70,"Florida St.",105,35,"Florida St.",0,"Atlantic Coast","Ivy League"
"208",2021-11-10,"Regent",54,"Howard",118,64,"Howard",0,"Mid-Eastern Athletic",NA
"209",2021-11-10,"Robert Morris",59,"UCF",69,10,"UCF",0,"American Athletic","Horizon League"
"210",2021-11-10,"San Francisco St.",65,"UC Santa Barbara",119,54,"UC Santa Barbara",0,"Big West",NA
"211",2021-11-10,"Virginia Wesleyan",60,"Old Dominion",80,20,"Old Dominion",0,"Conference USA",NA
"212",2021-11-10,"William & Mary",59,"Wake Forest",77,18,"Wake Forest",0,"Atlantic Coast","Colonial Athletic Association"
"213",2021-11-10,"Youngstown St.",59,"Penn St.",75,16,"Penn St.",0,"Big Ten","Horizon League"
"214",2021-11-11,"Air Force",53,"South Dakota",59,6,"Sioux Falls, SD",1,"Summit League","Mountain West"
"215",2021-11-11,"Brevard",44,"UNC Asheville",101,57,"UNC Asheville",0,"Big South",NA
"216",2021-11-11,"Cal St. Fullerton",76,"San Jose St.",78,2,"San Jose St.",0,"Mountain West","Big West"
"217",2021-11-11,"George Washington",64,"Maryland",71,7,"Maryland",0,"Big Ten","Atlantic 10"
"218",2021-11-11,"Hawaii Hilo",74,"Pacific",85,11,"Honolulu, HI",1,"West Coast",NA
"219",2021-11-11,"IUPUI",40,"Evansville",60,20,"Evansville",0,"Missouri Valley","Horizon League"
"220",2021-11-11,"Kennesaw St.",44,"Creighton",51,7,"Creighton",0,"Big East","Atlantic Sun"
"221",2021-11-11,"Mary Hardin Baylor",63,"Stephen F. Austin",76,13,"Stephen F. Austin",0,"Western Athletic",NA
"222",2021-11-11,"McNeese St.",61,"TCU",77,16,"TCU",0,"Big 12","Southland"
"223",2021-11-11,"Merrimack",61,"NJIT",54,-7,"NJIT",0,"America East","Northeast"
"224",2021-11-11,"Northern Arizona",62,"Washington",73,11,"Washington",0,"Pacific-12","Big Sky"
"225",2021-11-11,"Northern Colorado",81,"Hawaii",78,-3,"Hawaii",0,"Big West","Big Sky"
"226",2021-11-11,"Ohio Valley",74,"Eastern Kentucky",103,29,"Eastern Kentucky",0,"Atlantic Sun",NA
"227",2021-11-11,"Penn St. Wilkes Barre",55,"Norfolk St.",111,56,"Norfolk St.",0,"Mid-Eastern Athletic",NA
"228",2021-11-11,"Penn State Allegheny",71,"Morgan St.",126,55,"Morgan St.",0,"Mid-Eastern Athletic",NA
"229",2021-11-11,"Prairie View A&M",76,"San Francisco",92,16,"San Francisco",0,"West Coast","Southwest Athletic"
"230",2021-11-11,"Regent",24,"Liberty",85,61,"Liberty",0,"Atlantic Sun",NA
"231",2021-11-11,"Sacred Heart",64,"Providence",92,28,"Providence",0,"Big East","Northeast"
"232",2021-11-11,"South Carolina St.",74,"Charleston",106,32,"Charleston",0,"Colonial Athletic Association","Mid-Eastern Athletic"
"233",2021-11-11,"Spring Hill",69,"Samford",86,17,"Samford",0,"Southern",NA
"234",2021-11-11,"UC Riverside",66,"Arizona St.",65,-1,"Arizona St.",0,"Pacific-12","Big West"
"235",2021-11-11,"Vermont",71,"Northern Iowa",57,-14,"Northern Iowa",0,"Missouri Valley","America East"
"236",2021-11-11,"Washington College",62,"Mount St. Mary's",117,55,"Mount St. Mary's",0,"Northeast",NA
"237",2021-11-11,"Willamette",78,"Portland",122,44,"Portland",0,"West Coast",NA
"238",2021-11-12,"Abilene Christian",80,"Texas A&M",81,1,"Texas A&M",0,"Southeastern","Western Athletic"
"239",2021-11-12,"American",74,"William & Mary",62,-12,"William & Mary",0,"Colonial Athletic Association","Patriot League"
"240",2021-11-12,"Antelope Valley",48,"Utah Valley",82,34,"Utah Valley",0,"Western Athletic","Western State"
"241",2021-11-12,"Arkansas Pine Bluff",71,"Colorado St.",91,20,"Colorado St.",0,"Mountain West","Southwest Athletic"
"242",2021-11-12,"Arkansas St.",53,"Illinois",92,39,"Illinois",0,"Big Ten","Sun Belt"
"243",2021-11-12,"Army",56,"Duke",82,26,"Duke",0,"Atlantic Coast","Patriot League"
"244",2021-11-12,"Austin Peay",55,"Southern Illinois",73,18,"Southern Illinois",0,"Missouri Valley","Ohio Valley"
"245",2021-11-12,"Bethune Cookman",51,"Middle Tennessee",71,20,"Middle Tennessee",0,"Conference USA","Southwest Athletic"
"246",2021-11-12,"Brown",87,"North Carolina",94,7,"North Carolina",0,"Atlantic Coast","Ivy League"
"247",2021-11-12,"Bryant",64,"Rhode Island",83,19,"Rhode Island",0,"Atlantic 10","Northeast"
"248",2021-11-12,"Canisius",71,"East Carolina",83,12,"East Carolina",0,"American Athletic","Metro Atlantic Athletic"
"249",2021-11-12,"Carver",52,"Nicholls St.",120,68,"Nicholls St.",0,"Southland",NA
"250",2021-11-12,"Central Arkansas",53,"Butler",85,32,"Butler",0,"Big East","Atlantic Sun"
"251",2021-11-12,"Champion Christian",51,"Little Rock",115,64,"Little Rock",0,"Sun Belt",NA
"252",2021-11-12,"Charleston Southern",68,"Mississippi",93,25,"Mississippi",0,"Southeastern","Big South"
"253",2021-11-12,"Coppin St.",69,"Rider",81,12,"Rider",0,"Metro Atlantic Athletic","Mid-Eastern Athletic"
"254",2021-11-12,"Cornell",90,"Lafayette",85,-5,"Lafayette",0,"Patriot League","Ivy League"
"255",2021-11-12,"Culver Stockton",69,"Western Illinois",91,22,"Western Illinois",0,"Summit League",NA
"256",2021-11-12,"East Tennessee St.",67,"Appalachian St.",69,2,"Appalachian St.",0,"Sun Belt","Southern"
